pattern,pattern_category,task_id,turn_index,quality,delta_q,tokens_kT,delta_c,cumul_cost_kT,lambda,delta_u,U_t
debate3,C,tech_02,1,4.0,4.0,3.795,3.795,3.795,0.5,2.1025,2.1025
debate3,C,tech_02,2,4.0,0.0,6.43,6.43,10.225,0.5,-3.215,-1.1124999999999998
debate3,C,tech_02,3,4.0,0.0,0.977,0.977,11.202,0.5,-0.4885,-1.601
debate3,C,tech_03,1,3.0,3.0,2.185,2.185,2.185,0.0,3.0,3.0
debate3,C,tech_03,2,2.0,-1.0,3.782,3.782,5.9670000000000005,0.0,-1.0,2.0
debate3,C,tech_03,3,2.0,0.0,4.486,4.486,10.453,0.0,0.0,2.0
debate3,C,tech_03,1,3.0,3.0,2.185,2.185,2.185,0.05,2.89075,2.89075
debate3,C,tech_03,2,2.0,-1.0,3.782,3.782,5.9670000000000005,0.05,-1.1891,1.7016499999999999
debate3,C,tech_03,3,2.0,0.0,4.486,4.486,10.453,0.05,-0.2243,1.47735
debate3,C,tech_03,1,3.0,3.0,2.185,2.185,2.185,0.1,2.7815,2.7815
debate3,C,tech_03,2,2.0,-1.0,3.782,3.782,5.9670000000000005,0.1,-1.3782,1.4032999999999998
debate3,C,tech_03,3,2.0,0.0,4.486,4.486,10.453,0.1,-0.4486,0.9547000000000001
debate3,C,tech_03,1,3.0,3.0,2.185,2.185,2.185,0.2,2.5629999999999997,2.5629999999999997
debate3,C,tech_03,2,2.0,-1.0,3.782,3.782,5.9670000000000005,0.2,-1.7564000000000002,0.8065999999999998
debate3,C,tech_03,3,2.0,0.0,4.486,4.486,10.453,0.2,-0.8972,-0.09059999999999979
debate3,C,tech_03,1,3.0,3.0,2.185,2.185,2.185,0.5,1.9075,1.9075
debate3,C,tech_03,2,2.0,-1.0,3.782,3.782,5.9670000000000005,0.5,-2.891,-0.9835000000000003
debate3,C,tech_03,3,2.0,0.0,4.486,4.486,10.453,0.5,-2.243,-3.2264999999999997
debate3,C,tech_04,1,3.0,3.0,2.881,2.881,2.881,0.0,3.0,3.0
debate3,C,tech_04,2,3.0,0.0,4.605,4.605,7.486000000000001,0.0,0.0,3.0
debate3,C,tech_04,3,2.0,-1.0,0.965,0.965,8.451,0.0,-1.0,2.0
debate3,C,tech_04,1,3.0,3.0,2.881,2.881,2.881,0.05,2.85595,2.85595
debate3,C,tech_04,2,3.0,0.0,4.605,4.605,7.486000000000001,0.05,-0.23025000000000004,2.6257
debate3,C,tech_04,3,2.0,-1.0,0.965,0.965,8.451,0.05,-1.04825,1.57745
debate3,C,tech_04,1,3.0,3.0,2.881,2.881,2.881,0.1,2.7119,2.7119
debate3,C,tech_04,2,3.0,0.0,4.605,4.605,7.486000000000001,0.1,-0.4605000000000001,2.2514
debate3,C,tech_04,3,2.0,-1.0,0.965,0.965,8.451,0.1,-1.0965,1.1549
debate3,C,tech_04,1,3.0,3.0,2.881,2.881,2.881,0.2,2.4238,2.4238
debate3,C,tech_04,2,3.0,0.0,4.605,4.605,7.486000000000001,0.2,-0.9210000000000002,1.5027999999999997
debate3,C,tech_04,3,2.0,-1.0,0.965,0.965,8.451,0.2,-1.193,0.30979999999999985
debate3,C,tech_04,1,3.0,3.0,2.881,2.881,2.881,0.5,1.5595,1.5595
debate3,C,tech_04,2,3.0,0.0,4.605,4.605,7.486000000000001,0.5,-2.3025,-0.7430000000000003
debate3,C,tech_04,3,2.0,-1.0,0.965,0.965,8.451,0.5,-1.4825,-2.2255000000000003
debate3,C,tech_05,1,3.0,3.0,8.246,8.246,8.246,0.0,3.0,3.0
debate3,C,tech_05,2,2.0,-1.0,3.35,3.35,11.596,0.0,-1.0,2.0
debate3,C,tech_05,3,2.0,0.0,1.48,1.48,13.076,0.0,0.0,2.0
debate3,C,tech_05,1,3.0,3.0,8.246,8.246,8.246,0.05,2.5877,2.5877
debate3,C,tech_05,2,2.0,-1.0,3.35,3.35,11.596,0.05,-1.1675,1.4202
debate3,C,tech_05,3,2.0,0.0,1.48,1.48,13.076,0.05,-0.074,1.3462
debate3,C,tech_05,1,3.0,3.0,8.246,8.246,8.246,0.1,2.1754,2.1754
debate3,C,tech_05,2,2.0,-1.0,3.35,3.35,11.596,0.1,-1.335,0.8404
debate3,C,tech_05,3,2.0,0.0,1.48,1.48,13.076,0.1,-0.148,0.6923999999999999
debate3,C,tech_05,1,3.0,3.0,8.246,8.246,8.246,0.2,1.3507999999999998,1.3507999999999998
debate3,C,tech_05,2,2.0,-1.0,3.35,3.35,11.596,0.2,-1.67,-0.31919999999999993
debate3,C,tech_05,3,2.0,0.0,1.48,1.48,13.076,0.2,-0.296,-0.6152000000000002
debate3,C,tech_05,1,3.0,3.0,8.246,8.246,8.246,0.5,-1.1230000000000002,-1.1230000000000002
debate3,C,tech_05,2,2.0,-1.0,3.35,3.35,11.596,0.5,-2.675,-3.798
debate3,C,tech_05,3,2.0,0.0,1.48,1.48,13.076,0.5,-0.74,-4.538
refl2,C,anal_01,1,4.0,4.0,1.029,1.029,1.029,0.0,4.0,4.0
refl2,C,anal_01,2,5.0,1.0,1.868,1.868,2.8970000000000002,0.0,1.0,5.0
refl2,C,anal_01,1,4.0,4.0,1.029,1.029,1.029,0.05,3.94855,3.94855
refl2,C,anal_01,2,5.0,1.0,1.868,1.868,2.8970000000000002,0.05,0.9066,4.85515
refl2,C,anal_01,1,4.0,4.0,1.029,1.029,1.029,0.1,3.8971,3.8971
refl2,C,anal_01,2,5.0,1.0,1.868,1.868,2.8970000000000002,0.1,0.8131999999999999,4.7103
refl2,C,anal_01,1,4.0,4.0,1.029,1.029,1.029,0.2,3.7942,3.7942
refl2,C,anal_01,2,5.0,1.0,1.868,1.868,2.8970000000000002,0.2,0.6264,4.4206
refl2,C,anal_01,1,4.0,4.0,1.029,1.029,1.029,0.5,3.4855,3.4855
refl2,C,anal_01,2,5.0,1.0,1.868,1.868,2.8970000000000002,0.5,0.06599999999999995,3.5515
refl2,C,anal_02,1,4.0,4.0,0.901,0.901,0.901,0.0,4.0,4.0
refl2,C,anal_02,2,5.0,1.0,2.075,2.075,2.976,0.0,1.0,5.0
refl2,C,anal_02,1,4.0,4.0,0.901,0.901,0.901,0.05,3.95495,3.95495
refl2,C,anal_02,2,5.0,1.0,2.075,2.075,2.976,0.05,0.89625,4.8512
refl2,C,anal_02,1,4.0,4.0,0.901,0.901,0.901,0.1,3.9099,3.9099
refl2,C,anal_02,2,5.0,1.0,2.075,2.075,2.976,0.1,0.7925,4.7024
refl2,C,anal_02,1,4.0,4.0,0.901,0.901,0.901,0.2,3.8198,3.8198
refl2,C,anal_02,2,5.0,1.0,2.075,2.075,2.976,0.2,0.585,4.4048
refl2,C,anal_02,1,4.0,4.0,0.901,0.901,0.901,0.5,3.5495,3.5495
refl2,C,anal_02,2,5.0,1.0,2.075,2.075,2.976,0.5,-0.03750000000000009,3.512
refl2,C,anal_03,1,4.0,4.0,0.897,0.897,0.897,0.0,4.0,4.0
refl2,C,anal_03,2,5.0,1.0,1.637,1.637,2.534,0.0,1.0,5.0
refl2,C,anal_03,1,4.0,4.0,0.897,0.897,0.897,0.05,3.95515,3.95515
refl2,C,anal_03,2,5.0,1.0,1.637,1.637,2.534,0.05,0.91815,4.8733
refl2,C,anal_03,1,4.0,4.0,0.897,0.897,0.897,0.1,3.9103,3.9103
refl2,C,anal_03,2,5.0,1.0,1.637,1.637,2.534,0.1,0.8363,4.7466
refl2,C,anal_03,1,4.0,4.0,0.897,0.897,0.897,0.2,3.8205999999999998,3.8205999999999998
refl2,C,anal_03,2,5.0,1.0,1.637,1.637,2.534,0.2,0.6726,4.4932
refl2,C,anal_03,1,4.0,4.0,0.897,0.897,0.897,0.5,3.5515,3.5515
refl2,C,anal_03,2,5.0,1.0,1.637,1.637,2.534,0.5,0.1815,3.733
refl2,C,anal_04,1,4.0,4.0,1.548,1.548,1.548,0.0,4.0,4.0
refl2,C,anal_04,2,4.0,0.0,2.36,2.36,3.908,0.0,0.0,4.0
refl2,C,anal_04,1,4.0,4.0,1.548,1.548,1.548,0.05,3.9226,3.9226
refl2,C,anal_04,2,4.0,0.0,2.36,2.36,3.908,0.05,-0.118,3.8045999999999998
refl2,C,anal_04,1,4.0,4.0,1.548,1.548,1.548,0.1,3.8452,3.8452
refl2,C,anal_04,2,4.0,0.0,2.36,2.36,3.908,0.1,-0.236,3.6092
refl2,C,anal_04,1,4.0,4.0,1.548,1.548,1.548,0.2,3.6904,3.6904
refl2,C,anal_04,2,4.0,0.0,2.36,2.36,3.908,0.2,-0.472,3.2184
refl2,C,anal_04,1,4.0,4.0,1.548,1.548,1.548,0.5,3.226,3.226
refl2,C,anal_04,2,4.0,0.0,2.36,2.36,3.908,0.5,-1.18,2.0460000000000003
refl2,C,anal_05,1,4.0,4.0,1.623,1.623,1.623,0.0,4.0,4.0
refl2,C,anal_05,2,5.0,1.0,2.196,2.196,3.819,0.0,1.0,5.0
refl2,C,anal_05,1,4.0,4.0,1.623,1.623,1.623,0.05,3.91885,3.91885
refl2,C,anal_05,2,5.0,1.0,2.196,2.196,3.819,0.05,0.8902,4.80905
refl2,C,anal_05,1,4.0,4.0,1.623,1.623,1.623,0.1,3.8377,3.8377
refl2,C,anal_05,2,5.0,1.0,2.196,2.196,3.819,0.1,0.7804,4.6181
refl2,C,anal_05,1,4.0,4.0,1.623,1.623,1.623,0.2,3.6754,3.6754
refl2,C,anal_05,2,5.0,1.0,2.196,2.196,3.819,0.2,0.5608,4.2362
refl2,C,anal_05,1,4.0,4.0,1.623,1.623,1.623,0.5,3.1885,3.1885
refl2,C,anal_05,2,5.0,1.0,2.196,2.196,3.819,0.5,-0.09800000000000009,3.0905
refl2,C,crea_01,1,4.0,4.0,1.535,1.535,1.535,0.0,4.0,4.0
refl2,C,crea_01,2,4.0,0.0,3.108,3.108,4.643,0.0,0.0,4.0
refl2,C,crea_01,3,4.0,0.0,20.156,20.156,24.799,0.0,0.0,4.0
refl2,C,crea_01,4,4.0,0.0,6.642,6.642,31.441,0.0,0.0,4.0
refl2,C,crea_01,5,4.0,0.0,17.179,17.179,48.62,0.0,0.0,4.0
refl2,C,crea_01,6,4.0,0.0,5.795,5.795,54.415,0.0,0.0,4.0
refl2,C,crea_01,1,4.0,4.0,1.535,1.535,1.535,0.05,3.92325,3.92325
refl2,C,crea_01,2,4.0,0.0,3.108,3.108,4.643,0.05,-0.1554,3.76785
refl2,C,crea_01,3,4.0,0.0,20.156,20.156,24.799,0.05,-1.0078,2.7600499999999997
refl2,C,crea_01,4,4.0,0.0,6.642,6.642,31.441,0.05,-0.33210000000000006,2.42795
refl2,C,crea_01,5,4.0,0.0,17.179,17.179,48.62,0.05,-0.85895,1.569
refl2,C,crea_01,6,4.0,0.0,5.795,5.795,54.415,0.05,-0.28975,1.2792499999999998
refl2,C,crea_01,1,4.0,4.0,1.535,1.535,1.535,0.1,3.8465,3.8465
refl2,C,crea_01,2,4.0,0.0,3.108,3.108,4.643,0.1,-0.3108,3.5357
refl2,C,crea_01,3,4.0,0.0,20.156,20.156,24.799,0.1,-2.0156,1.5200999999999998
refl2,C,crea_01,4,4.0,0.0,6.642,6.642,31.441,0.1,-0.6642000000000001,0.8559000000000001
refl2,C,crea_01,5,4.0,0.0,17.179,17.179,48.62,0.1,-1.7179,-0.8620000000000001
refl2,C,crea_01,6,4.0,0.0,5.795,5.795,54.415,0.1,-0.5795,-1.4415000000000004
refl2,C,crea_01,1,4.0,4.0,1.535,1.535,1.535,0.2,3.693,3.693
refl2,C,crea_01,2,4.0,0.0,3.108,3.108,4.643,0.2,-0.6216,3.0714
refl2,C,crea_01,3,4.0,0.0,20.156,20.156,24.799,0.2,-4.0312,-0.9598000000000004
refl2,C,crea_01,4,4.0,0.0,6.642,6.642,31.441,0.2,-1.3284000000000002,-2.2882
refl2,C,crea_01,5,4.0,0.0,17.179,17.179,48.62,0.2,-3.4358,-5.724
refl2,C,crea_01,6,4.0,0.0,5.795,5.795,54.415,0.2,-1.159,-6.883000000000001
refl2,C,crea_01,1,4.0,4.0,1.535,1.535,1.535,0.5,3.2325,3.2325
refl2,C,crea_01,2,4.0,0.0,3.108,3.108,4.643,0.5,-1.554,1.6785
refl2,C,crea_01,3,4.0,0.0,20.156,20.156,24.799,0.5,-10.078,-8.3995
refl2,C,crea_01,4,4.0,0.0,6.642,6.642,31.441,0.5,-3.321,-11.7205
refl2,C,crea_01,5,4.0,0.0,17.179,17.179,48.62,0.5,-8.5895,-20.31
refl2,C,crea_01,6,4.0,0.0,5.795,5.795,54.415,0.5,-2.8975,-23.2075
refl2,C,crea_02,1,4.0,4.0,0.639,0.639,0.639,0.0,4.0,4.0
refl2,C,crea_02,2,5.0,1.0,1.445,1.445,2.084,0.0,1.0,5.0
refl2,C,crea_02,1,4.0,4.0,0.639,0.639,0.639,0.05,3.96805,3.96805
refl2,C,crea_02,2,5.0,1.0,1.445,1.445,2.084,0.05,0.92775,4.8958
refl2,C,crea_02,1,4.0,4.0,0.639,0.639,0.639,0.1,3.9361,3.9361
refl2,C,crea_02,2,5.0,1.0,1.445,1.445,2.084,0.1,0.8554999999999999,4.7916
refl2,C,crea_02,1,4.0,4.0,0.639,0.639,0.639,0.2,3.8722,3.8722
refl2,C,crea_02,2,5.0,1.0,1.445,1.445,2.084,0.2,0.711,4.5832
refl2,C,crea_02,1,4.0,4.0,0.639,0.639,0.639,0.5,3.6805,3.6805
refl2,C,crea_02,2,5.0,1.0,1.445,1.445,2.084,0.5,0.27749999999999997,3.958
refl2,C,crea_03,1,4.0,4.0,1.689,1.689,1.689,0.0,4.0,4.0
refl2,C,crea_03,2,5.0,1.0,2.568,2.568,4.257,0.0,1.0,5.0
refl2,C,crea_03,1,4.0,4.0,1.689,1.689,1.689,0.05,3.91555,3.91555
refl2,C,crea_03,2,5.0,1.0,2.568,2.568,4.257,0.05,0.8715999999999999,4.7871500000000005
refl2,C,crea_03,1,4.0,4.0,1.689,1.689,1.689,0.1,3.8311,3.8311
refl2,C,crea_03,2,5.0,1.0,2.568,2.568,4.257,0.1,0.7432,4.5743
refl2,C,crea_03,1,4.0,4.0,1.689,1.689,1.689,0.2,3.6622,3.6622
refl2,C,crea_03,2,5.0,1.0,2.568,2.568,4.257,0.2,0.48639999999999994,4.1486
refl2,C,crea_03,1,4.0,4.0,1.689,1.689,1.689,0.5,3.1555,3.1555
refl2,C,crea_03,2,5.0,1.0,2.568,2.568,4.257,0.5,-0.28400000000000003,2.8715
refl2,C,crea_04,1,4.0,4.0,1.578,1.578,1.578,0.0,4.0,4.0
refl2,C,crea_04,2,4.0,0.0,3.243,3.243,4.821,0.0,0.0,4.0
refl2,C,crea_04,1,4.0,4.0,1.578,1.578,1.578,0.05,3.9211,3.9211
refl2,C,crea_04,2,4.0,0.0,3.243,3.243,4.821,0.05,-0.16215000000000002,3.75895
refl2,C,crea_04,1,4.0,4.0,1.578,1.578,1.578,0.1,3.8422,3.8422
refl2,C,crea_04,2,4.0,0.0,3.243,3.243,4.821,0.1,-0.32430000000000003,3.5179
refl2,C,crea_04,1,4.0,4.0,1.578,1.578,1.578,0.2,3.6844,3.6844
refl2,C,crea_04,2,4.0,0.0,3.243,3.243,4.821,0.2,-0.6486000000000001,3.0358
refl2,C,crea_04,1,4.0,4.0,1.578,1.578,1.578,0.5,3.211,3.211
refl2,C,crea_04,2,4.0,0.0,3.243,3.243,4.821,0.5,-1.6215,1.5895000000000001
refl2,C,crea_05,1,5.0,5.0,0.594,0.594,0.594,0.0,5.0,5.0
refl2,C,crea_05,2,5.0,0.0,1.294,1.294,1.888,0.0,0.0,5.0
refl2,C,crea_05,1,5.0,5.0,0.594,0.594,0.594,0.05,4.9703,4.9703
refl2,C,crea_05,2,5.0,0.0,1.294,1.294,1.888,0.05,-0.06470000000000001,4.9056
refl2,C,crea_05,1,5.0,5.0,0.594,0.594,0.594,0.1,4.9406,4.9406
refl2,C,crea_05,2,5.0,0.0,1.294,1.294,1.888,0.1,-0.12940000000000002,4.8112
refl2,C,crea_05,1,5.0,5.0,0.594,0.594,0.594,0.2,4.8812,4.8812
refl2,C,crea_05,2,5.0,0.0,1.294,1.294,1.888,0.2,-0.25880000000000003,4.6224
refl2,C,crea_05,1,5.0,5.0,0.594,0.594,0.594,0.5,4.703,4.703
refl2,C,crea_05,2,5.0,0.0,1.294,1.294,1.888,0.5,-0.647,4.056
refl2,C,fact_01,1,4.0,4.0,0.83,0.83,0.83,0.0,4.0,4.0
refl2,C,fact_01,2,5.0,1.0,1.445,1.445,2.275,0.0,1.0,5.0
refl2,C,fact_01,1,4.0,4.0,0.83,0.83,0.83,0.05,3.9585,3.9585
refl2,C,fact_01,2,5.0,1.0,1.445,1.445,2.275,0.05,0.92775,4.88625
refl2,C,fact_01,1,4.0,4.0,0.83,0.83,0.83,0.1,3.917,3.917
refl2,C,fact_01,2,5.0,1.0,1.445,1.445,2.275,0.1,0.8554999999999999,4.7725
refl2,C,fact_01,1,4.0,4.0,0.83,0.83,0.83,0.2,3.834,3.834
refl2,C,fact_01,2,5.0,1.0,1.445,1.445,2.275,0.2,0.711,4.545
refl2,C,fact_01,1,4.0,4.0,0.83,0.83,0.83,0.5,3.585,3.585
refl2,C,fact_01,2,5.0,1.0,1.445,1.445,2.275,0.5,0.27749999999999997,3.8625
refl2,C,fact_02,1,4.0,4.0,0.691,0.691,0.691,0.0,4.0,4.0
refl2,C,fact_02,2,5.0,1.0,1.426,1.426,2.117,0.0,1.0,5.0
refl2,C,fact_02,1,4.0,4.0,0.691,0.691,0.691,0.05,3.96545,3.96545
refl2,C,fact_02,2,5.0,1.0,1.426,1.426,2.117,0.05,0.9287,4.89415
refl2,C,fact_02,1,4.0,4.0,0.691,0.691,0.691,0.1,3.9309,3.9309
refl2,C,fact_02,2,5.0,1.0,1.426,1.426,2.117,0.1,0.8573999999999999,4.7883
refl2,C,fact_02,1,4.0,4.0,0.691,0.691,0.691,0.2,3.8618,3.8618
refl2,C,fact_02,2,5.0,1.0,1.426,1.426,2.117,0.2,0.7148,4.5766
refl2,C,fact_02,1,4.0,4.0,0.691,0.691,0.691,0.5,3.6545,3.6545
refl2,C,fact_02,2,5.0,1.0,1.426,1.426,2.117,0.5,0.28700000000000003,3.9415
refl2,C,fact_03,1,4.0,4.0,1.508,1.508,1.508,0.0,4.0,4.0
refl2,C,fact_03,2,4.0,0.0,2.525,2.525,4.0329999999999995,0.0,0.0,4.0
refl2,C,fact_03,3,4.0,0.0,5.233,5.233,9.265999999999998,0.0,0.0,4.0
refl2,C,fact_03,4,4.0,0.0,1.311,1.311,10.576999999999998,0.0,0.0,4.0
refl2,C,fact_03,1,4.0,4.0,1.508,1.508,1.508,0.05,3.9246,3.9246
refl2,C,fact_03,2,4.0,0.0,2.525,2.525,4.0329999999999995,0.05,-0.12625,3.79835
refl2,C,fact_03,3,4.0,0.0,5.233,5.233,9.265999999999998,0.05,-0.26165,3.5367
refl2,C,fact_03,4,4.0,0.0,1.311,1.311,10.576999999999998,0.05,-0.06555,3.47115
refl2,C,fact_03,1,4.0,4.0,1.508,1.508,1.508,0.1,3.8492,3.8492
refl2,C,fact_03,2,4.0,0.0,2.525,2.525,4.0329999999999995,0.1,-0.2525,3.5967000000000002
refl2,C,fact_03,3,4.0,0.0,5.233,5.233,9.265999999999998,0.1,-0.5233,3.0734000000000004
refl2,C,fact_03,4,4.0,0.0,1.311,1.311,10.576999999999998,0.1,-0.1311,2.9423000000000004
refl2,C,fact_03,1,4.0,4.0,1.508,1.508,1.508,0.2,3.6984,3.6984
refl2,C,fact_03,2,4.0,0.0,2.525,2.525,4.0329999999999995,0.2,-0.505,3.1934
refl2,C,fact_03,3,4.0,0.0,5.233,5.233,9.265999999999998,0.2,-1.0466,2.1468000000000003
refl2,C,fact_03,4,4.0,0.0,1.311,1.311,10.576999999999998,0.2,-0.2622,1.8846000000000003
refl2,C,fact_03,1,4.0,4.0,1.508,1.508,1.508,0.5,3.246,3.246
refl2,C,fact_03,2,4.0,0.0,2.525,2.525,4.0329999999999995,0.5,-1.2625,1.9835000000000003
refl2,C,fact_03,3,4.0,0.0,5.233,5.233,9.265999999999998,0.5,-2.6165,-0.6329999999999991
refl2,C,fact_03,4,4.0,0.0,1.311,1.311,10.576999999999998,0.5,-0.6555,-1.288499999999999
refl2,C,fact_04,1,5.0,5.0,0.859,0.859,0.859,0.0,5.0,5.0
refl2,C,fact_04,2,5.0,0.0,1.669,1.669,2.528,0.0,0.0,5.0
refl2,C,fact_04,1,5.0,5.0,0.859,0.859,0.859,0.05,4.95705,4.95705
refl2,C,fact_04,2,5.0,0.0,1.669,1.669,2.528,0.05,-0.08345000000000001,4.8736
refl2,C,fact_04,1,5.0,5.0,0.859,0.859,0.859,0.1,4.9141,4.9141
refl2,C,fact_04,2,5.0,0.0,1.669,1.669,2.528,0.1,-0.16690000000000002,4.7472
refl2,C,fact_04,1,5.0,5.0,0.859,0.859,0.859,0.2,4.8282,4.8282
refl2,C,fact_04,2,5.0,0.0,1.669,1.669,2.528,0.2,-0.33380000000000004,4.4944
refl2,C,fact_04,1,5.0,5.0,0.859,0.859,0.859,0.5,4.5705,4.5705
refl2,C,fact_04,2,5.0,0.0,1.669,1.669,2.528,0.5,-0.8345,3.7359999999999998
refl2,C,fact_05,1,4.0,4.0,1.607,1.607,1.607,0.0,4.0,4.0
refl2,C,fact_05,2,5.0,1.0,2.101,2.101,3.708,0.0,1.0,5.0
refl2,C,fact_05,1,4.0,4.0,1.607,1.607,1.607,0.05,3.91965,3.91965
refl2,C,fact_05,2,5.0,1.0,2.101,2.101,3.708,0.05,0.89495,4.8146
refl2,C,fact_05,1,4.0,4.0,1.607,1.607,1.607,0.1,3.8393,3.8393
refl2,C,fact_05,2,5.0,1.0,2.101,2.101,3.708,0.1,0.7899,4.6292
refl2,C,fact_05,1,4.0,4.0,1.607,1.607,1.607,0.2,3.6786,3.6786
refl2,C,fact_05,2,5.0,1.0,2.101,2.101,3.708,0.2,0.5798,4.2584
refl2,C,fact_05,1,4.0,4.0,1.607,1.607,1.607,0.5,3.1965,3.1965
refl2,C,fact_05,2,5.0,1.0,2.101,2.101,3.708,0.5,-0.05049999999999999,3.146
refl2,C,tech_01,1,3.0,3.0,6.575,6.575,6.575,0.0,3.0,3.0
refl2,C,tech_01,2,5.0,2.0,2.077,2.077,8.652000000000001,0.0,2.0,5.0
refl2,C,tech_01,1,3.0,3.0,6.575,6.575,6.575,0.05,2.67125,2.67125
refl2,C,tech_01,2,5.0,2.0,2.077,2.077,8.652000000000001,0.05,1.89615,4.5674
refl2,C,tech_01,1,3.0,3.0,6.575,6.575,6.575,0.1,2.3425,2.3425
refl2,C,tech_01,2,5.0,2.0,2.077,2.077,8.652000000000001,0.1,1.7923,4.1348
refl2,C,tech_01,1,3.0,3.0,6.575,6.575,6.575,0.2,1.6849999999999998,1.6849999999999998
refl2,C,tech_01,2,5.0,2.0,2.077,2.077,8.652000000000001,0.2,1.5846,3.2695999999999996
refl2,C,tech_01,1,3.0,3.0,6.575,6.575,6.575,0.5,-0.2875000000000001,-0.2875000000000001
refl2,C,tech_01,2,5.0,2.0,2.077,2.077,8.652000000000001,0.5,0.9615,0.6739999999999995
refl2,C,tech_02,1,3.0,3.0,6.167,6.167,6.167,0.0,3.0,3.0
refl2,C,tech_02,2,5.0,2.0,1.157,1.157,7.324,0.0,2.0,5.0
refl2,C,tech_02,1,3.0,3.0,6.167,6.167,6.167,0.05,2.69165,2.69165
refl2,C,tech_02,2,5.0,2.0,1.157,1.157,7.324,0.05,1.94215,4.6338
refl2,C,tech_02,1,3.0,3.0,6.167,6.167,6.167,0.1,2.3833,2.3833
refl2,C,tech_02,2,5.0,2.0,1.157,1.157,7.324,0.1,1.8843,4.2676
refl2,C,tech_02,1,3.0,3.0,6.167,6.167,6.167,0.2,1.7666,1.7666
refl2,C,tech_02,2,5.0,2.0,1.157,1.157,7.324,0.2,1.7686,3.5351999999999997
refl2,C,tech_02,1,3.0,3.0,6.167,6.167,6.167,0.5,-0.08349999999999991,-0.08349999999999991
refl2,C,tech_02,2,5.0,2.0,1.157,1.157,7.324,0.5,1.4215,1.338
refl2,C,tech_03,1,4.0,4.0,2.745,2.745,2.745,0.0,4.0,4.0
refl2,C,tech_03,2,5.0,1.0,4.253,4.253,6.998,0.0,1.0,5.0
refl2,C,tech_03,1,4.0,4.0,2.745,2.745,2.745,0.05,3.86275,3.86275
refl2,C,tech_03,2,5.0,1.0,4.253,4.253,6.998,0.05,0.78735,4.6501
refl2,C,tech_03,1,4.0,4.0,2.745,2.745,2.745,0.1,3.7255,3.7255
refl2,C,tech_03,2,5.0,1.0,4.253,4.253,6.998,0.1,0.5747,4.3002
refl2,C,tech_03,1,4.0,4.0,2.745,2.745,2.745,0.2,3.451,3.451
refl2,C,tech_03,2,5.0,1.0,4.253,4.253,6.998,0.2,0.14939999999999998,3.6003999999999996
refl2,C,tech_03,1,4.0,4.0,2.745,2.745,2.745,0.5,2.6275,2.6275
refl2,C,tech_03,2,5.0,1.0,4.253,4.253,6.998,0.5,-1.1265,1.501
refl2,C,tech_04,1,3.0,3.0,3.732,3.732,3.732,0.0,3.0,3.0
refl2,C,tech_04,2,5.0,2.0,4.536,4.536,8.268,0.0,2.0,5.0
refl2,C,tech_04,1,3.0,3.0,3.732,3.732,3.732,0.05,2.8134,2.8134
refl2,C,tech_04,2,5.0,2.0,4.536,4.536,8.268,0.05,1.7732,4.5866
refl2,C,tech_04,1,3.0,3.0,3.732,3.732,3.732,0.1,2.6268,2.6268
refl2,C,tech_04,2,5.0,2.0,4.536,4.536,8.268,0.1,1.5464,4.1732
refl2,C,tech_04,1,3.0,3.0,3.732,3.732,3.732,0.2,2.2536,2.2536
refl2,C,tech_04,2,5.0,2.0,4.536,4.536,8.268,0.2,1.0928,3.3464
refl2,C,tech_04,1,3.0,3.0,3.732,3.732,3.732,0.5,1.134,1.134
refl2,C,tech_04,2,5.0,2.0,4.536,4.536,8.268,0.5,-0.2679999999999998,0.8659999999999997
refl2,C,tech_05,1,3.0,3.0,7.027,7.027,7.027,0.0,3.0,3.0
refl2,C,tech_05,2,5.0,2.0,0.648,0.648,7.675,0.0,2.0,5.0
refl2,C,tech_05,1,3.0,3.0,7.027,7.027,7.027,0.05,2.64865,2.64865
refl2,C,tech_05,2,5.0,2.0,0.648,0.648,7.675,0.05,1.9676,4.61625
refl2,C,tech_05,1,3.0,3.0,7.027,7.027,7.027,0.1,2.2973,2.2973
refl2,C,tech_05,2,5.0,2.0,0.648,0.648,7.675,0.1,1.9352,4.2325
refl2,C,tech_05,1,3.0,3.0,7.027,7.027,7.027,0.2,1.5945999999999998,1.5945999999999998
refl2,C,tech_05,2,5.0,2.0,0.648,0.648,7.675,0.2,1.8704,3.465
refl2,C,tech_05,1,3.0,3.0,7.027,7.027,7.027,0.5,-0.5135000000000001,-0.5135000000000001
refl2,C,tech_05,2,5.0,2.0,0.648,0.648,7.675,0.5,1.676,1.1625
rr3,A,anal_01,1,4.0,4.0,1.442,1.442,1.442,0.0,4.0,4.0
rr3,A,anal_01,2,4.0,0.0,2.377,2.377,3.819,0.0,0.0,4.0
rr3,A,anal_01,3,4.0,0.0,3.1,3.1,6.9190000000000005,0.0,0.0,4.0
rr3,A,anal_01,1,4.0,4.0,1.442,1.442,1.442,0.05,3.9279,3.9279
rr3,A,anal_01,2,4.0,0.0,2.377,2.377,3.819,0.05,-0.11885,3.80905
rr3,A,anal_01,3,4.0,0.0,3.1,3.1,6.9190000000000005,0.05,-0.15500000000000003,3.65405
rr3,A,anal_01,1,4.0,4.0,1.442,1.442,1.442,0.1,3.8558,3.8558
rr3,A,anal_01,2,4.0,0.0,2.377,2.377,3.819,0.1,-0.2377,3.6181
